frame_id,object_id,class,x1,y1,x2,y2,velocity_m_s
1,1,Car,531,299,565,322,0.000
1,2,Car,665,293,686,308,0.000
1,3,Car,120,309,153,327,0.000
2,1,Car,531,300,565,322,3.000
2,2,Car,666,294,686,309,6.708
3,1,Car,531,300,565,322,1.500
3,2,Car,665,294,686,309,3.000
4,1,Car,531,300,565,322,1.000
4,2,Car,666,294,686,308,1.414
5,1,Car,531,300,565,322,0.750
5,2,Car,666,294,687,309,2.121
6,1,Car,531,300,565,322,0.600
6,2,Car,666,293,688,308,1.800
7,1,Car,531,300,565,322,0.500
7,2,Car,667,293,688,308,2.000
8,1,Car,531,299,565,321,0.429
8,2,Car,667,291,689,307,2.499
9,1,Car,531,299,565,320,1.286
9,2,Car,667,290,688,306,3.264
10,1,Car,531,298,565,320,1.714
10,2,Car,667,290,688,305,3.833
11,1,Car,530,297,565,320,2.185
11,2,Car,667,290,688,305,3.264
12,1,Car,530,297,565,320,2.185
12,2,Car,667,290,687,304,3.881
13,1,Car,529,296,565,320,2.711
13,2,Car,668,290,687,304,3.030
14,1,Car,529,297,564,320,2.499
14,2,Car,667,290,688,305,2.571
15,1,Car,529,297,564,320,1.818
15,2,Car,667,290,688,305,1.355
15,12,Car,798,304,824,325,0.000
16,1,Car,529,297,564,320,1.545
16,2,Car,667,289,689,305,0.958
16,12,Car,801,305,826,326,16.155
17,1,Car,528,296,564,320,1.917
17,2,Car,666,290,689,305,0.000
17,12,Car,798,304,825,326,2.121
18,1,Car,529,297,563,320,1.286
18,2,Car,666,290,689,306,0.429
18,12,Car,801,303,829,326,8.000
19,1,Car,528,296,564,319,1.545
19,2,Car,667,290,689,305,0.958
19,12,Car,802,303,829,325,6.792
20,1,Car,528,295,564,319,1.212
20,2,Car,667,289,689,305,0.429
20,12,Car,803,303,831,326,7.200
21,1,Car,528,294,564,318,2.185
21,2,Car,668,289,690,305,1.355
21,12,Car,801,302,828,324,3.808
22,1,Car,528,293,564,317,3.030
22,2,Car,668,290,689,304,0.958
22,12,Car,799,302,827,324,2.143
23,1,Car,528,293,564,317,3.030
23,2,Car,667,290,689,305,0.429
23,12,Car,799,302,830,325,1.917
24,1,Car,528,293,564,317,2.571
24,2,Car,666,290,689,305,0.000
24,12,Car,801,302,832,325,4.474
24,25,Car,301,289,330,306,0.000
25,1,Car,528,293,563,318,2.607
25,12,Car,803,302,834,325,3.120
26,1,Car,528,294,563,319,0.958
26,12,Car,805,302,836,326,4.286
27,1,Car,528,294,563,318,0.958
27,12,Car,806,302,837,326,3.881
27,2,Car,666,290,689,305,0.333
28,1,Car,528,293,563,317,0.958
28,12,Car,804,302,835,324,4.286
28,2,Car,667,289,690,304,0.745
29,1,Car,528,292,564,317,0.429
29,2,Car,667,288,691,304,0.943
30,1,Car,528,291,564,317,0.857
30,2,Car,668,287,692,304,1.202
30,46,Car,98,299,149,324,0.000
31,1,Car,529,292,564,316,0.958
31,2,Car,668,287,693,303,1.886
31,46,Car,81,298,138,325,84.000
31,12,Car,805,298,838,322,6.009
32,1,Car,529,291,564,316,1.917
32,2,Car,669,287,693,303,2.603
32,46,Car,62,298,119,326,99.011
32,12,Car,804,297,838,320,5.467
33,1,Car,529,291,564,315,3.120
33,2,Car,669,286,694,303,3.333
33,46,Car,40,298,101,327,106.019
33,12,Car,806,296,839,319,5.657
34,1,Car,529,290,564,315,3.120
34,2,Car,669,286,694,302,4.556
34,46,Car,14,297,80,329,114.772
34,12,Car,806,296,840,319,5.000
34,52,Car,816,298,846,320,0.000
35,1,Car,529,290,563,314,2.607
35,2,Car,670,286,694,302,3.687
35,46,Car,0,297,64,332,109.859
35,12,Car,807,296,841,318,5.217
35,52,Car,816,298,845,319,4.243
36,1,Car,529,290,563,314,2.143
36,2,Car,670,286,694,302,3.090
36,46,Car,0,297,48,332,99.545
36,12,Car,807,295,843,318,5.518
37,1,Car,529,290,562,313,2.185
37,2,Car,670,286,695,302,2.499
37,12,Car,807,295,844,318,5.897
38,1,Car,529,289,563,314,2.185
38,2,Car,670,286,696,302,2.308
38,12,Car,808,295,845,318,5.231
39,1,Car,528,289,563,314,1.917
39,2,Car,670,285,696,302,2.143
39,12,Car,809,295,846,318,5.829
39,55,Car,183,292,228,317,0.000
40,1,Car,528,289,563,313,1.917
40,2,Car,670,284,697,302,2.143
40,12,Car,809,295,847,317,4.886
40,55,Car,171,291,218,317,66.068
41,1,Car,528,289,563,313,1.545
41,2,Car,670,285,697,303,1.714
41,12,Car,810,295,847,317,4.886
41,55,Car,157,291,205,318,73.500
42,1,Car,528,288,562,314,1.212
42,2,Car,670,285,697,303,1.286
42,12,Car,810,294,848,317,4.474
42,55,Car,140,290,191,319,80.000
43,1,Car,527,288,562,313,1.818
43,2,Car,670,285,697,303,1.286
43,12,Car,809,294,849,318,3.455
43,55,Car,122,289,177,320,84.000
44,1,Car,528,290,561,314,0.958
44,2,Car,670,286,696,304,0.958
44,12,Car,810,296,850,319,3.951
44,55,Car,103,291,159,322,89.432
45,1,Car,528,292,561,315,2.143
45,2,Car,671,288,696,304,1.767
45,12,Car,811,297,852,320,4.616
45,55,Car,82,292,141,323,94.048
46,1,Car,529,292,560,315,1.917
46,2,Car,671,288,697,306,3.120
46,12,Car,811,296,854,321,4.616
46,55,Car,58,292,120,325,99.916
46,63,Car,825,298,856,321,0.000
46,64,Car,321,290,343,303,0.000
47,1,Car,529,293,560,315,2.711
47,2,Car,670,288,698,307,3.881
47,12,Car,811,296,855,321,4.792
47,55,Car,31,292,98,327,111.528
47,63,Car,825,297,857,322,3.000
47,64,Car,317,290,341,304,18.248
48,1,Car,529,293,560,315,2.711
48,2,Car,670,288,698,308,3.455
48,12,Car,811,296,856,322,4.998
48,55,Car,6,292,78,329,119.254
48,63,Car,825,298,857,322,2.121
48,64,Car,315,290,338,304,16.568
49,1,Car,529,293,560,315,2.607
49,2,Car,670,288,699,307,3.120
49,12,Car,812,296,857,322,5.588
49,55,Car,0,292,62,331,115.442
49,63,Car,827,297,859,322,5.000
49,64,Car,311,290,335,303,18.000
50,1,Car,528,292,561,315,2.571
50,2,Car,670,288,698,307,3.030
50,63,Car,827,298,859,322,3.824
50,64,Car,308,290,331,303,18.750
50,69,Car,189,293,233,317,0.000
51,1,Car,528,293,561,315,1.714
51,2,Car,670,288,698,307,2.308
51,63,Car,828,298,859,321,3.600
51,64,Car,305,291,327,303,19.209
52,1,Car,528,293,560,315,0.606
52,2,Car,670,288,698,307,1.355
52,64,Car,301,290,324,303,19.500
52,12,Car,819,297,863,321,8.246
53,1,Car,529,294,559,315,0.958
